model,strategy,prompt,accuracy,f1,num_tokens
gemma:2b,zero-shot,"Classifique o sentimento do comentário abaixo como ""positivo"" ou ""negativo"".",0.87,0.8539325842696629,15
gemma:2b,zero-shot,"Classifique o sentimento do seguinte comentário como ""positivo"" ou ""negativo"":",0.86,0.8444444444444444,15
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.83,0.8131868131868132,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário que se segue como ""positivo"" ou ""negativo"":",0.77,0.7927927927927928,17
gemma:2b,zero-shot,"Classifique o sentimento expresso no seguinte comentário como ""positivo"" ou ""negativo"".",0.82,0.7906976744186046,16
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.81,0.7816091954022989,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.79,0.7741935483870968,16
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha:",0.73,0.7567567567567568,21
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique sua escolha:",0.72,0.75,20
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"" e explique brevemente sua escolha: (F1: 0.87)",0.67,0.6915887850467289,26
gemma:2b,zero-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.47,0.5470085470085471,19
gemma:2b,zero-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.51,0.379746835443038,19
gemma:2b,zero-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.1,0.1,17
gemma:2b,zero-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.09,0.09900990099009901,15
gemma:2b,zero-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.05,0.07766990291262135,16
gemma:2b,zero-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.05,0.07766990291262135,17
gemma:2b,zero-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.09,0.061855670103092786,19
gemma:2b,zero-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.03,0.039603960396039604,14
gemma:2b,zero-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.02,0.0392156862745098,11
gemma:2b,zero-shot,"Classifique o sentimento do comentário a seguir como ""positivo"" ou ""negativo"":",0.84,0.8260869565217391,16
gemma:2b,few-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma breve justificativa para sua escolha.",0.54,0.684931506849315,23
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e forneça uma explicação sucinta que justifique sua classificação.",0.54,0.676056338028169,25
gemma:2b,few-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.52,0.6756756756756757,20
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", justificando sua resposta com uma breve explicação.",0.55,0.6715328467153284,24
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.54,0.6714285714285714,16
gemma:2b,few-shot,"Analise o seguinte texto e identifique o sentimento expresso, classificando como ""positivo"" ou ""negativo"".",0.51,0.6711409395973155,20
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e explique sua resposta com uma justificativa concisa.",0.54,0.6666666666666666,24
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e ofereça uma justificativa breve para sua decisão.",0.53,0.6666666666666666,24
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma justificativa clara para sua decisão.",0.51,0.6666666666666666,24
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e inclua uma breve justificativa que explique sua decisão.",0.5,0.6575342465753424,25
gemma:2b,few-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.51,0.6474820143884892,19
gemma:2b,few-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.45,0.5736434108527132,15
gemma:2b,few-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.35,0.36893203883495146,16
gemma:2b,few-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.27,0.35398230088495575,19
gemma:2b,few-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.14,0.2037037037037037,11
gemma:2b,few-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.15,0.17475728155339806,17
gemma:2b,few-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.17,0.12631578947368421,19
gemma:2b,few-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.15,0.12371134020618557,17
gemma:2b,few-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.06,0.0784313725490196,14
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e elabore uma justificativa concisa para sua decisão.",0.61,0.7111111111111111,24
gemma:2b,cot,"Identifique o sentimento do texto abaixo e classifique-o como ""positivo"" ou ""negativo"".",0.82,0.8333333333333334,17
gemma:2b,cot,"Avalie o sentimento presente no texto abaixo e indique se ele é ""positivo"" ou ""negativo"".",0.81,0.831858407079646,20
gemma:2b,cot,"Analise o texto a seguir e determine se o sentimento expresso é ""positivo"" ou ""negativo"".",0.8,0.8245614035087719,20
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.78,0.8166666666666667,16
gemma:2b,cot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.82,0.8085106382978723,17
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.74,0.7868852459016393,16
gemma:2b,cot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.76,0.7818181818181819,15
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.71,0.7642276422764228,16
gemma:2b,cot,Analise o sentimento expresso neste comentário e determine se é uma avaliação positiva ou negativa.,0.71,0.7642276422764228,16
gemma:2b,cot,"Identifique o sentimento contido no texto abaixo e classifique-o como ""positivo"" ou ""negativo"".",0.7,0.7619047619047619,18
gemma:2b,cot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.69,0.7479674796747967,16
gemma:2b,cot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.64,0.7313432835820896,19
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.58,0.6911764705882353,21
gemma:2b,cot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.56,0.6901408450704225,19
gemma:2b,cot,"Identifique o sentimento expresso no texto a seguir e classifique-o como ""positivo"" ou ""negativo"".",0.56,0.6811594202898551,19
gemma:2b,cot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.54,0.6805555555555556,19
gemma:2b,cot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.59,0.672,11
gemma:2b,cot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.56,0.6271186440677966,14
gemma:2b,cot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.31,0.3893805309734513,17
gemma:2b,cot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"".",0.66,0.734375,15
