model,strategy,prompt,accuracy,f1
gemma:2b,zero-shot,"Classifique o sentimento do seguinte texto como ""positivo"" ou ""negativo"".",0.84,0.813953488372093
gemma:2b,zero-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", levando em conta o contexto e a emoção expressa nas palavras.",0.8,0.8
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", considerando as emoções e a intenção por trás das palavras.",0.68,0.7333333333333333
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.76,0.7209302325581395
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e a emoção expressa nas palavras.",0.68,0.7192982456140351
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções expressas e a intenção do autor.",0.66,0.7068965517241379
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e as emoções transmitidas.",0.67,0.7027027027027027
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta o contexto e as emoções expressas.",0.67,0.7027027027027027
gemma:2b,zero-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", considerando tanto as emoções manifestadas quanto o contexto da mensagem.",0.65,0.6902654867256637
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em conta as emoções transmitidas e o contexto das palavras.",0.61,0.6829268292682927
gemma:2b,zero-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.39,0.49586776859504134
gemma:2b,zero-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.48,0.4222222222222222
gemma:2b,zero-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.07,0.1308411214953271
gemma:2b,zero-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.12,0.12
gemma:2b,zero-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.09,0.08080808080808081
gemma:2b,zero-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.08,0.08
gemma:2b,zero-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.06,0.0784313725490196
gemma:2b,zero-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.04,0.04
gemma:2b,zero-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.02,0.0392156862745098
gemma:2b,zero-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", analisando o contexto, as emoções e a intenção contidas nas palavras.",0.69,0.7207207207207207
gemma:2b,few-shot,"Classifique o sentimento do texto que se segue como ""positivo"" ou ""negativo"", analisando as emoções, opiniões e contextos que ele revela.",0.54,0.684931506849315
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", avaliando cuidadosamente as emoções, opiniões e contextos que ele transmite.",0.52,0.6756756756756757
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções e opiniões expressas.",0.52,0.6712328767123288
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", examinando as emoções, opiniões e contextos que se manifestam.",0.51,0.6711409395973155
gemma:2b,few-shot,"Analise o texto a seguir e classifique o sentimento como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e contextos apresentados.",0.5,0.6666666666666666
gemma:2b,few-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", levando em conta as emoções, opiniões e contextos que ele transmite.",0.5,0.6666666666666666
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções, opiniões e o contexto geral que ele expressa.",0.5,0.6621621621621622
gemma:2b,few-shot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.52,0.6619718309859155
gemma:2b,few-shot,"Classifique o sentimento expresso no texto abaixo como ""positivo"" ou ""negativo"".",0.52,0.6619718309859155
gemma:2b,few-shot,"Avalie o sentimento do texto a seguir e classifique-o como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e o contexto que ele expressa.",0.5,0.647887323943662
gemma:2b,few-shot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.42,0.5735294117647058
gemma:2b,few-shot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.39,0.5343511450381679
gemma:2b,few-shot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.23,0.3418803418803419
gemma:2b,few-shot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.29,0.297029702970297
gemma:2b,few-shot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.19,0.24299065420560748
gemma:2b,few-shot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.2,0.2
gemma:2b,few-shot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.14,0.14
gemma:2b,few-shot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.13,0.06451612903225806
gemma:2b,few-shot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.06,0.04081632653061224
gemma:2b,few-shot,"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e o contexto apresentado.",0.51,0.6666666666666666
gemma:2b,cot,"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, levando em conta os aspectos e emoções destacados na crítica.",0.81,0.8288288288288288
gemma:2b,cot,"Classifique o sentimento da opinião sobre o filme, determinando se é positivo ou negativo, levando em conta os elementos e emoções expressos na crítica.",0.79,0.8141592920353983
gemma:2b,cot,Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.79,0.8108108108108109
gemma:2b,cot,"Classifique o sentimento da opinião expressa sobre o filme como positiva ou negativa, considerando os aspectos mencionados na crítica.",0.8,0.803921568627451
gemma:2b,cot,"Analise a opinião sobre o filme e classifique seu sentimento como positivo ou negativo, levando em consideração os aspectos e emoções expressos na crítica.",0.74,0.7868852459016393
gemma:2b,cot,Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.78,0.7755102040816326
gemma:2b,cot,"Analise a opinião expressa sobre o filme e determine se o sentimento é positivo ou negativo, levando em conta os pontos destacados na crítica.",0.73,0.773109243697479
gemma:2b,cot,"Analise o sentimento da crítica apresentada e classifique-a como positiva ou negativa, levando em conta os principais pontos abordados pelo autor.",0.73,0.7610619469026548
gemma:2b,cot,Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.71,0.7603305785123967
gemma:2b,cot,"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.71,0.7563025210084033
gemma:2b,cot,"Analise a opinião sobre o filme e classifique o sentimento como positivo ou negativo, justificando sua escolha.",0.67,0.7401574803149606
gemma:2b,cot,Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.67,0.736
gemma:2b,cot,"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.61,0.7194244604316546
gemma:2b,cot,"Classifique o sentimento da opinião expressa, indicando se é positiva ou negativa, levando em conta os principais pontos abordados na crítica.",0.61,0.7111111111111111
gemma:2b,cot,"Classifique o sentimento da opinião a seguir, indicando se ele é positivo ou negativo em relação ao filme.",0.61,0.7022900763358778
gemma:2b,cot,Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.6,0.6721311475409836
gemma:2b,cot,"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.54,0.6714285714285714
gemma:2b,cot,Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.5,0.5833333333333334
gemma:2b,cot,Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.31,0.3783783783783784
gemma:2b,cot,"Analise a crítica sobre o filme e classifique o sentimento como positivo ou negativo, considerando os sentimentos e opiniões expressos ao longo do texto.",0.78,0.7962962962962963
