prompt,accuracy,f1_score,tokens,alert
"""Classifique a resenha abaixo como 'positivo' ou 'negativo':""",0.95,0.9514563106796117,13,
"""Classifique a seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9504950495049505,13,
"""Classifique a resenha abaixo como 'positivo' ou 'negativo':""",0.95,0.9504950495049505,13,
"""Classifique a resenha a seguir como 'positivo' ou 'negativo':""",0.95,0.9504950495049505,14,
"""Classifique o sentimento da seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9494949494949495,15,
"""Classifique o sentimento da seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9494949494949495,15,
"""Classifique o sentimento da seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9494949494949495,15,
"""Classifique o sentimento da seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9494949494949495,15,
"""Classifique o sentimento da seguinte resenha como 'positivo' ou 'negativo':""",0.95,0.9494949494949495,15,
"""Determine se o sentimento da resenha a seguir ̩ 'positivo' ou 'negativo':""",0.95,0.9494949494949495,17,
